probe_id,GSM178746,GSM180372,GSM180373,GSM180374,GSM180375,GSM180376,GSM180377,GSM180378,GSM180379,GSM180380,GSM180381,GSM180382,GSM180383,GSM180384,GSM180385,GSM180386,GSM180387,GSM180388,GSM180389,GSM180390
204475_at,852.445,3827.52,840.136,9197.64,945.219,444.267,257.708,4474.51,7184.82,4266.5,530.997,528.618,179.724,305.945,7952.72,4883.22,249.451,195.008,7031.16,1176.68
204476_s_at,902.982,4427.07,1770.99,2843.49,2601.24,289.772,551.518,234.544,225.371,1936.2,301.195,1076.1,3559.79,689.708,2019.91,277.157,6049.15,4738.49,707.689,214.919
204477_at,1545.85,353.696,319.183,963.368,4159.24,3281.8,924.102,495.614,3458.49,718.658,850.268,2408.16,3975.65,236.025,4595.46,3934.68,568.709,7687.19,743.717,361.286
204478_s_at,6549.98,5777.7,3030.08,1413.67,6019.5,5605.02,1461.94,3971.35,9810.74,5657.24,1124.61,4176.1,7540.29,7747.05,409.027,1195.35,9738.55,753.58,11693.4,6880.47
204479_at,977.026,424.494,1227.01,313.847,349.295,926.538,8716.32,10095,18455.7,15029.7,4754.16,8417.61,24317.8,8722.96,16620,343.997,4362.54,3657.17,21174,12408.7
204480_s_at,496.183,4154.89,4791.13,5485.54,4157.03,1005.38,1085.2,10913.6,5585.13,4144.78,960.023,10230.9,12157.1,11099,8395.11,7154.87,14386.2,8177.63,11557.4,10672.9
204481_at,609.574,2560.58,6040.79,1186,5535.04,501.512,508.965,3301.75,940.126,658.911,2096.83,478.206,1512.2,4573.26,688.723,543.501,1394,4699.21,1006.1,3255.93
204482_at,1189.5,785.389,595.75,595.838,341.108,864.161,417.362,7119.67,1044.42,727.048,648.452,3076.23,378.171,1037.88,258.528,4812.4,232.132,3712.93,2879.58,6000.83
204483_at,5183.9,713.054,803.234,6245.46,376.106,6716.76,1109.93,368.092,3419.93,2906.64,339.089,1375.01,3433.82,1343.72,12303.2,5487.66,309.143,1617.43,3166.81,1158.11
204484_at,397.261,676.321,519.922,1003.36,325.434,439.173,387.572,1458.02,281.876,844.183,636.032,478.05,662.278,1531.85,641.234,326.411,1120.07,1528.77,328.733,850.566
204485_s_at,1281.06,565.138,500.818,9484.65,262.477,285.381,235.166,9623.57,4007.86,14812.4,273.84,7981.77,4346.2,153.465,625.562,3266.73,338.602,2924.74,5394.39,248.217
204486_at,2950.64,4108.87,729.175,579.83,977.747,1051.01,3193.37,1615.04,160.625,162.794,415.496,2291.12,181.26,568.517,4845.88,323.227,2280.45,641.204,207.495,218.456
204487_s_at,8359.05,337.353,6089.14,403.034,2579.05,579.163,6036.98,923.02,702.35,5530.62,1049.45,3371.84,5886.64,5440.57,4934.64,349.869,516.384,2112.18,4152.8,834.343
204488_at,1109.51,1788.96,3285.5,885.125,3507.59,5733.51,899.204,2834.36,788.397,3902.72,576.542,5278.49,5708.58,2158.16,658.998,2384.23,8773.83,897.908,8423.64,6254.2
204489_s_at,844.094,256.346,265.478,999.581,2904.16,4106.61,3073.84,3272.92,2289.32,7904.55,5166.27,13997.6,4096.93,5633.97,8171.61,5788.58,1072.52,5741.22,6321.88,315.228
204490_s_at,436.593,8423.29,4744.41,2005.77,1248.5,3280.88,6647,12114.5,13791.7,13129.5,358.403,9190.32,14181.9,7257.46,9483.15,10326.4,10708.6,7903.66,16202.5,7626.06
204491_at,4747.51,2366.2,519.352,5774.86,1213.54,682.716,3186.5,2715.5,379.281,888.56,3016.62,203.257,612.368,205.73,484.792,4156.98,8544.4,447.297,428.308,555.007
204492_at,462.085,6356.48,3726.52,899.757,378.672,427.743,339.863,392.278,2490.97,1661.16,2701.19,4389.66,643.486,5364.21,9644.53,1019.65,769.46,1452.69,3406.81,1663.32
204493_at,5339.25,6043.03,345.088,3878.5,862.397,5377.28,4026.55,828.151,15525.3,14366,6479.46,14897.6,19770.2,9051.89,15488,14412,16600.8,2024.52,11818.5,7830.3
204494_s_at,791.355,2284.89,375.592,2499.36,930.5,3360.89,1252.62,3459.68,4844.88,3576.89,400.091,882.961,9311.6,985.655,7457.8,9537.16,839.045,318.401,643.452,7370.88
204495_s_at,5895.21,696.804,6026.06,529.543,5754.27,4438.94,303.102,472.224,5013.02,3015.77,2318.35,3092.39,2830.53,1393.06,2494.87,1418.99,5561.81,900.169,5058.5,2684.92
204496_at,3329.54,1675.67,19535.3,351.745,2232.1,5580.23,5796.28,4485.03,486.039,3582.64,280.723,5886.6,248.393,233.748,5019.64,409.558,4455.27,2424.94,1220.17,2263.75
204497_at,333.59,290.89,2455.9,4439.83,295.316,4495.94,519.061,395.637,236.609,3222.66,12594.8,4022.42,616.259,419.307,7041.12,1583.14,3536.2,203.982,2408.01,236.205
204498_s_at,268.832,377.971,343.58,661.903,218.519,304.483,8134.82,4673.82,386.174,4357.65,1343.25,297.87,3631.51,506.679,835,1150.41,255.047,5381.61,550.301,836.022
204499_at,1838.21,5280.56,4130.53,2229.82,3177.28,3430.24,614.672,431.204,247.232,973.563,338.136,876.152,578.843,4981.56,258.398,522.038,526.93,263.978,1393.58,419.089
