logFC,AveExpr,t,P.Value,adj.P.Val,B,probe_id
5086.1565,4722.49775,6.39408106490864,2.41503766258226e-06,0.132042184201685,-4.59499271024351,1558942_at
16849.0051,13276.75945,6.05259562683278,5.19169681326944e-06,0.141928011632753,-4.59499788992147,208436_s_at
9240.5577,7185.58815,5.8056086995975,9.10856737964616e-06,0.166003640494051,-4.59500192705716,229350_x_at
5244.2729,3973.12975,5.46562515971221,1.99635061775487e-05,0.272876175064368,-4.59500791043629,216892_at
3210.4033,2258.66085,5.28568133884875,3.03818295111379e-05,0.332225305704293,-4.59501128675226,234408_at
103055.814,61157.493,5.0286027315157,5.56248366989178e-05,0.506881324418888,-4.59501637226764,205483_s_at
-3664.6175,3641.63025,-4.95072375519649,6.68755858780886e-05,0.518987301825428,-4.59501797500377,220263_at
9011.6429,5294.69855,4.85020221386491,8.48758457181595e-05,0.518987301825428,-4.59502008706189,205660_at
-3650.4683,2380.04545,-4.84518746065135,8.5892533556089e-05,0.518987301825428,-4.59502019371219,232576_at
-3845.276,2832.6051,-4.80311348341507,9.49222317010384e-05,0.518987301825428,-4.59502109334001,210811_s_at
4030.6968,3089.4219,4.72823069255143,0.000113432668467713,0.563811922588384,-4.59502271587651,207960_at
4479.4411,4932.77745,4.62773655321377,0.000144131702382293,0.582697034277801,-4.59502493652638,220949_s_at
5552.1302,4793.3865,4.6092927386722,0.00015061618064419,0.582697034277801,-4.59502534946856,209090_s_at
5594.2482,4904.2821,4.52917141265754,0.000182373384951409,0.582697034277801,-4.59502716271375,221865_at
-3462.4906,2442.9479,-4.52717616839866,0.000183244890692862,0.582697034277801,-4.5950272082709,242878_at
12817.7122,15768.7039,4.52388607974269,0.000184691130624824,0.582697034277801,-4.59502728343574,218248_at
5484.6214,5746.9793,4.51352853327123,0.000189319423577178,0.582697034277801,-4.59502752040952,217342_x_at
3092.971,2126.2047,4.50800655113375,0.000191834414577054,0.582697034277801,-4.59502764696397,1560918_at
-2943.309,2530.9145,-4.45077130808874,0.000219965430669025,0.590161994519271,-4.59502896750716,1554847_at
3074.3027,2497.75605,4.45064667436629,0.000220031005577052,0.590161994519271,-4.59502897040026,232167_at
8116.9886,5439.9787,4.39698011560439,0.000250172170817509,0.590161994519271,-4.5950302232134,230036_at
7683.7746,6239.6789,4.38545168283908,0.000257169538386452,0.590161994519271,-4.59503049417458,221540_x_at
-5707.6272,4472.5944,-4.38122701357782,0.000259782647474196,0.590161994519271,-4.5950305936325,217043_s_at
-4063.8983,3690.64485,-4.3611499064509,0.000272569790937878,0.590161994519271,-4.59503106748126,211813_x_at
3096.2888,2131.349,4.3595763482561,0.000273598275732905,0.590161994519271,-4.59503110470255,1559402_a_at
3222.9365,2035.07975,4.32963455541391,0.000293926930207827,0.590161994519271,-4.59503181524915,1558410_s_at
15876.5187,15661.59465,4.31838218956291,0.000301952147599696,0.590161994519271,-4.59503208340529,221875_x_at
32792.586,19131.017,4.30603732359066,0.000311009334624762,0.590161994519271,-4.59503237830407,242625_at
-3265.9066,2106.0026,-4.3033376474915,0.000313026023613331,0.590161994519271,-4.59503244289346,232296_s_at
-4786.4932,4757.8551,-4.27950362077195,0.000331408308089975,0.598073094215308,-4.59503301465152,239888_at
-3410.2481,2873.70095,-4.26992186367621,0.000339099513866933,0.598073094215308,-4.59503324528448,220666_at
2759.7388,1931.1822,4.24414331843339,0.000360690390862481,0.606138101835407,-4.59503386797524,1567248_at
6992.0581,6408.24295,4.2317153923311,0.000371585618598603,0.606138101835407,-4.59503416932102,203278_s_at
2761.8869,1897.31295,4.20189375453195,0.000399091047966144,0.606138101835407,-4.59503489544853,227270_at
5194.934,5183.439,4.18868141456712,0.000411919233564835,0.606138101835407,-4.59503521851921,206044_s_at
