probe_id,present_fraction,absent_fraction,filter_status
1552412_a_at,NA,NA,N/A_series_matrix_already_processed
1552414_at,NA,NA,N/A_series_matrix_already_processed
1552415_a_at,NA,NA,N/A_series_matrix_already_processed
1552417_a_at,NA,NA,N/A_series_matrix_already_processed
1552418_at,NA,NA,N/A_series_matrix_already_processed
1552419_s_at,NA,NA,N/A_series_matrix_already_processed
1552421_a_at,NA,NA,N/A_series_matrix_already_processed
1552422_at,NA,NA,N/A_series_matrix_already_processed
1552423_at,NA,NA,N/A_series_matrix_already_processed
1552424_at,NA,NA,N/A_series_matrix_already_processed
1552425_a_at,NA,NA,N/A_series_matrix_already_processed
1552426_a_at,NA,NA,N/A_series_matrix_already_processed
1552427_at,NA,NA,N/A_series_matrix_already_processed
1552430_at,NA,NA,N/A_series_matrix_already_processed
1552432_at,NA,NA,N/A_series_matrix_already_processed
1552436_a_at,NA,NA,N/A_series_matrix_already_processed
1552438_a_at,NA,NA,N/A_series_matrix_already_processed
1552439_s_at,NA,NA,N/A_series_matrix_already_processed
1552440_at,NA,NA,N/A_series_matrix_already_processed
1552445_a_at,NA,NA,N/A_series_matrix_already_processed
1552448_a_at,NA,NA,N/A_series_matrix_already_processed
1552449_a_at,NA,NA,N/A_series_matrix_already_processed
1552450_a_at,NA,NA,N/A_series_matrix_already_processed
1552452_at,NA,NA,N/A_series_matrix_already_processed
1552453_a_at,NA,NA,N/A_series_matrix_already_processed
1552455_at,NA,NA,N/A_series_matrix_already_processed
1552456_a_at,NA,NA,N/A_series_matrix_already_processed
1552457_a_at,NA,NA,N/A_series_matrix_already_processed
1552458_at,NA,NA,N/A_series_matrix_already_processed
1552459_a_at,NA,NA,N/A_series_matrix_already_processed
1552461_at,NA,NA,N/A_series_matrix_already_processed
1552463_at,NA,NA,N/A_series_matrix_already_processed
1552466_x_at,NA,NA,N/A_series_matrix_already_processed
1552467_at,NA,NA,N/A_series_matrix_already_processed
1552468_a_at,NA,NA,N/A_series_matrix_already_processed
1552470_a_at,NA,NA,N/A_series_matrix_already_processed
1552472_a_at,NA,NA,N/A_series_matrix_already_processed
1552473_at,NA,NA,N/A_series_matrix_already_processed
1552474_a_at,NA,NA,N/A_series_matrix_already_processed
1552476_s_at,NA,NA,N/A_series_matrix_already_processed
1552477_a_at,NA,NA,N/A_series_matrix_already_processed
1552478_a_at,NA,NA,N/A_series_matrix_already_processed
1552480_s_at,NA,NA,N/A_series_matrix_already_processed
1552481_s_at,NA,NA,N/A_series_matrix_already_processed
1552482_at,NA,NA,N/A_series_matrix_already_processed
1552484_at,NA,NA,N/A_series_matrix_already_processed
1552485_at,NA,NA,N/A_series_matrix_already_processed
1552486_s_at,NA,NA,N/A_series_matrix_already_processed
1552487_a_at,NA,NA,N/A_series_matrix_already_processed
1552489_s_at,NA,NA,N/A_series_matrix_already_processed
1552490_at,NA,NA,N/A_series_matrix_already_processed
1552491_at,NA,NA,N/A_series_matrix_already_processed
1552493_s_at,NA,NA,N/A_series_matrix_already_processed
1552494_at,NA,NA,N/A_series_matrix_already_processed
1552496_a_at,NA,NA,N/A_series_matrix_already_processed
1552497_a_at,NA,NA,N/A_series_matrix_already_processed
1552498_at,NA,NA,N/A_series_matrix_already_processed
1552499_a_at,NA,NA,N/A_series_matrix_already_processed
1552501_a_at,NA,NA,N/A_series_matrix_already_processed
1552502_s_at,NA,NA,N/A_series_matrix_already_processed
1552503_at,NA,NA,N/A_series_matrix_already_processed
1552504_a_at,NA,NA,N/A_series_matrix_already_processed
1552506_at,NA,NA,N/A_series_matrix_already_processed
1552507_at,NA,NA,N/A_series_matrix_already_processed
1552508_at,NA,NA,N/A_series_matrix_already_processed
